_id,id_anime,id_genre
ObjectId(5b215fbd31765d2a2ce8b915),5b201da140182d3e18c96f00,5b213caa2fa0bc25e428a6c8
ObjectId(5b215fbc31765d2a2ce8b913),5b201da140182d3e18c96f00,5b213ca92fa0bc25e428a6c6
ObjectId(5b215fbb31765d2a2ce8b911),5b201da140182d3e18c96f00,5b213ca82fa0bc25e428a6c5
ObjectId(5b215fb931765d2a2ce8b90f),5b201da140182d3e18c96f00,5b213ca82fa0bc25e428a6c4
ObjectId(5b215fb631765d2a2ce8b90d),5b201da140182d3e18c96f00,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fc231765d2a2ce8b91b),5b201dc440182d3e18c96f19,5b213cb42fa0bc25e428a6d8
ObjectId(5b215fc431765d2a2ce8b91d),5b201dc440182d3e18c96f19,5b213cb32fa0bc25e428a6d6
ObjectId(5b215fc031765d2a2ce8b917),5b201dc440182d3e18c96f19,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fc131765d2a2ce8b919),5b201dc440182d3e18c96f19,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fca31765d2a2ce8b924),5b201db940182d3e18c96f11,5b213cb22fa0bc25e428a6d4
ObjectId(5b215fc831765d2a2ce8b923),5b201db940182d3e18c96f11,5b213ca82fa0bc25e428a6c5
ObjectId(5b215fc731765d2a2ce8b921),5b201db940182d3e18c96f11,5b213ca82fa0bc25e428a6c4
ObjectId(5b215fc531765d2a2ce8b91f),5b201db940182d3e18c96f11,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fd131765d2a2ce8b92c),5b201dad40182d3e18c96f08,5b213cb22fa0bc25e428a6d4
ObjectId(5b215fcf31765d2a2ce8b92a),5b201dad40182d3e18c96f08,5b213ca82fa0bc25e428a6c5
ObjectId(5b215fce31765d2a2ce8b928),5b201dad40182d3e18c96f08,5b213ca82fa0bc25e428a6c4
ObjectId(5b215fcb31765d2a2ce8b926),5b201dad40182d3e18c96f08,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fd731765d2a2ce8b934),5b201d9f40182d3e18c96efe,5b213cb32fa0bc25e428a6d5
ObjectId(5b215fd531765d2a2ce8b932),5b201d9f40182d3e18c96efe,5b213cb22fa0bc25e428a6d4
ObjectId(5b215fd431765d2a2ce8b930),5b201d9f40182d3e18c96efe,5b213ca82fa0bc25e428a6c4
ObjectId(5b215fd231765d2a2ce8b92e),5b201d9f40182d3e18c96efe,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fdc31765d2a2ce8b93a),5b201dea40182d3e18c96f33,5b213cb42fa0bc25e428a6d8
ObjectId(5b215fdd31765d2a2ce8b93c),5b201dea40182d3e18c96f33,5b213cb12fa0bc25e428a6d3
ObjectId(5b215fd931765d2a2ce8b938),5b201dea40182d3e18c96f33,5b213ca82fa0bc25e428a6c4
ObjectId(5b215fd831765d2a2ce8b936),5b201dea40182d3e18c96f33,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fe131765d2a2ce8b942),5b201e8c40182d3e18c96f91,5b213cb52fa0bc25e428a6d9
ObjectId(5b215fe431765d2a2ce8b946),5b201e8c40182d3e18c96f91,5b213cb02fa0bc25e428a6d2
ObjectId(5b215fe331765d2a2ce8b944),5b201e8c40182d3e18c96f91,5b213cac2fa0bc25e428a6cb
ObjectId(5b215fe031765d2a2ce8b940),5b201e8c40182d3e18c96f91,5b213ca92fa0bc25e428a6c6
ObjectId(5b215fde31765d2a2ce8b93e),5b201e8c40182d3e18c96f91,5b213ca72fa0bc25e428a6c3
ObjectId(5b215fe831765d2a2ce8b94b),5b201d8d40182d3e18c96ef2,5b213cb22fa0bc25e428a6d4
ObjectId(5b215fea31765d2a2ce8b94d),5b201d8d40182d3e18c96ef2,5b213cab2fa0bc25e428a6c9
ObjectId(5b215fe731765d2a2ce8b949),5b201d8d40182d3e18c96ef2,5b213ca82fa0bc25e428a6c5
ObjectId(5b215fe631765d2a2ce8b947),5b201d8d40182d3e18c96ef2,5b213ca82fa0bc25e428a6c4
ObjectId(5b215ff231765d2a2ce8b957),5b201e5f40182d3e18c96f7d,5b213cb42fa0bc25e428a6d7
ObjectId(5b215ff031765d2a2ce8b955),5b201e5f40182d3e18c96f7d,5b213cae2fa0bc25e428a6ce
ObjectId(5b215fee31765d2a2ce8b953),5b201e5f40182d3e18c96f7d,5b213ca82fa0bc25e428a6c5
ObjectId(5b215fed31765d2a2ce8b951),5b201e5f40182d3e18c96f7d,5b213ca82fa0bc25e428a6c4
ObjectId(5b215fec31765d2a2ce8b94f),5b201e5f40182d3e18c96f7d,5b213ca72fa0bc25e428a6c3
ObjectId(5b215ff631765d2a2ce8b95d),5b201e5c40182d3e18c96f7c,5b213cb42fa0bc25e428a6d7
